"sentence","vNeg","neg","pos","vPos","sentiment1"
"Venus .........FIRE .......","0","1","0","0","NEGATIVE"
"That's a beautiful picture.","0","0","1","0","POSITIVE"
"WOW!","0","0","0","1","POSITIVE"
"Amazing","0","0","0","1","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"WOW :-D Super photo :-D","0","0","1","1","POSITIVE"
"Beautiful picture","0","0","1","0","POSITIVE"
"Que hermoso es. Tanto. Ver  cuando se oculta el sol como cuando sale el amanecer.. así cómo está. Este. Paisaje. Yo lo e visto. En cozumel. Hermosa isla. Y en veracruz mi puerto. Querido. Cómo. Te extraño.","0","0","0","0","POSITIVE"
"Spectacular","0","0","0","0","POSITIVE"
"BEAUTIFUL","0","0","1","0","POSITIVE"
"Beautiful!","0","0","1","0","POSITIVE"
"Wow that's beautiful!","0","0","1","1","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"Wow! What a beautiful picture!","0","0","1","1","POSITIVE"
"Oh! Wow that is gorgeous .","0","0","0","1","POSITIVE"
"Serenity now!","0","0","0","0","POSITIVE"
"Wendy Farwell Crowell can you see this it would be cool & beautiful.","0","0","2","0","POSITIVE"
"Absolutely gorgeous <U+2665>","0","0","0","0","POSITIVE"
"Amazing (^<U+FF70>^)<U+30CE>","0","0","0","1","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"I like that :)$$$$","0","0","1","0","POSITIVE"
"Great picture!","0","0","1","0","POSITIVE"
"It's different there!","0","0","0","0","POSITIVE"
"Breath taking!","0","0","0","0","POSITIVE"
"America the Beautiful!","0","0","1","0","POSITIVE"
"THIS IS GORGEOUS!!!!!!!!!!!","0","0","0","0","POSITIVE"
"Just Beautiful!","0","0","1","0","POSITIVE"
"Gt pic ;)","0","0","0","0","POSITIVE"
"Nature paints another amazing picture!!!","0","0","0","1","POSITIVE"
"Gorgeous picture","0","0","0","0","POSITIVE"
"This pic is way to beautiful","0","0","1","0","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"Cool :)","0","0","1","0","POSITIVE"
",,......love nature,,so much,,,,,,,,","0","0","1","0","POSITIVE"
"Beautiful.","0","0","1","0","POSITIVE"
"Really beautiful! Showing God's creation!","0","0","1","0","POSITIVE"
"We are internet referral agents and we post ads ...and for each person you refer you get $80 and it's fairly easy. You will not have to chase down your friends or family. You will be provided with places to post and samples of what to post. Send me a friend request and inbox me for more details.","0","0","0","0","POSITIVE"
"Beauty 'Virginia'","0","0","0","0","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"Awsome view!!","0","0","0","0","POSITIVE"
"Oh wld love 2 see tht n person  beautiful","0","0","2","0","POSITIVE"
"Beatiful and peaceful","0","0","1","0","POSITIVE"
"Really cool.","0","0","1","0","POSITIVE"
"This is so beautiful!","0","0","1","0","POSITIVE"
"Beautiful! Thanks for the share.","0","0","3","0","POSITIVE"
"Wonderful","0","0","0","1","POSITIVE"
"Beautiful!","0","0","1","0","POSITIVE"
"Stunning","0","0","0","1","POSITIVE"
"BEAUTIFUL","0","0","1","0","POSITIVE"
"That's so beautiful  for real !","0","0","1","0","POSITIVE"
"Spectacular !!!","0","0","0","0","POSITIVE"
"Wo.Ow NIcE!! Beautiful :)","0","0","2","1","POSITIVE"
"How beautiful!! ","0","0","1","0","POSITIVE"
"Spectacular !!!!","0","0","0","0","POSITIVE"
"Awesome! Kind of reminds me of our Texas sky'! They so Beauitful !","0","0","1","1","POSITIVE"
"Breath taking! Thank you for sharing.","0","0","1","0","POSITIVE"
"Beautiful","0","0","1","0","POSITIVE"
"Now that is spectacular shot !!","0","0","0","0","POSITIVE"
"Breathtaking & Spectacular I must share !","0","0","1","1","POSITIVE"
"beautiful as always!","0","0","1","0","POSITIVE"
"amazing","0","0","0","1","POSITIVE"
"Venus is easy to see with the naked eye. It's very beautiful. Kinda looks like a small moon.","0","0","2","0","POSITIVE"
"it nice,","0","0","1","0","POSITIVE"
